SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2189 Market St #7,San Francisco,CA,94114,975000,2,1.0,San Francisco,770,8182,2002,1,1266,611,Active,,,http://www.redfin.com/CA/San-Francisco/2189-Market-St-94114/unit-7/home/1528790,San Francisco MLS,421553863,N,Y,37.7658753,-122.4306438
MLS Listing,,Condo/Co-op,1584 48th Ave Unit A,San Francisco,CA,94122,895000,1,1.0,San Francisco,739,2675,1973,6,1211,200,Active,,,http://www.redfin.com/CA/San-Francisco/1584-48th-Ave-94122/unit-A/home/635853,San Francisco MLS,421548664,N,Y,37.7569033,-122.507582
MLS Listing,,Single Family Residential,1461 Kansas St,San Francisco,CA,94107,1095000,2,1.0,San Francisco,946,2500,,7,1158,,Active,,,http://www.redfin.com/CA/San-Francisco/1461-Kansas-St-94107/home/738988,San Francisco MLS,421547622,N,Y,37.751169,-122.401927
MLS Listing,,Multi-Family (2-4 Unit),1527 - 1529 12th Ave,San Francisco,CA,94122,1798000,6,2.5,San Francisco,2400,2996,1946,8,749,,Active,,,http://www.redfin.com/CA/San-Francisco/1527-12th-Ave-94122/home/1595972,San Francisco MLS,421547307,N,Y,37.7596008,-122.469552
MLS Listing,,Condo/Co-op,250 King St #1214,San Francisco,CA,94107,869000,1,1.0,San Francisco,962,213232,2004,13,903,862,Active,,,http://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-1214/home/12401997,San Francisco MLS,421545142,N,Y,37.7781222,-122.3932903
MLS Listing,,Single Family Residential,2037 14th Ave,SAN FRANCISCO,CA,94116,1399000,2,1.0,SAN FRANCISCO,1075,2068,1947,14,1301,,Active,,,http://www.redfin.com/CA/San-Francisco/2037-14th-Ave-94116/home/649465,MLSListings,ML81842407,N,Y,37.7500531,-122.4711598
MLS Listing,,Single Family Residential,1403 Hudson Ave,San Francisco,CA,94124,1998000,4,2.5,San Francisco,3282,3424,2007,14,609,,Active,,,http://www.redfin.com/CA/San-Francisco/1403-Hudson-Ave-94124/home/21967406,San Francisco MLS,421543439,N,Y,37.737751,-122.384753
MLS Listing,,Condo/Co-op,388 Fulton St #405,SAN FRANCISCO,CA,94102,898000,2,1.0,SAN FRANCISCO,720,,2016,15,1247,639,Active,,,http://www.redfin.com/CA/San-Francisco/388-Fulton-St-94102/unit-405/home/105419644,MLSListings,ML81842102,N,Y,37.7790326,-122.4231449
MLS Listing,,Condo/Co-op,248 Myrtle St,San Francisco,CA,94109,875000,2,1.0,San Francisco,975,3828,1900,16,897,461,Active,,,http://www.redfin.com/CA/San-Francisco/248-Myrtle-St-94109/home/1491675,San Francisco MLS,421544867,N,Y,37.7852487,-122.4221514
MLS Listing,,Single Family Residential,4353 17th St,San Francisco,CA,94114,899000,1,1.0,San Francisco,685,1123,1909,16,1312,,Active,,,http://www.redfin.com/CA/San-Francisco/4353-17th-St-94114/home/1299551,San Francisco MLS,421544792,N,Y,37.7619358,-122.4417445
